symbol	zacks	value	growth	momtum	vgm	industry	date
A	3	D	C	D	D	Electronics - Testing Equipment	2022-10-23
AA	4	A	A	F	A	Metal Products - Distribution	2022-10-23
AAAU	TimeoutError()
AADI	2	F	D	F	F	Medical - Biomedical and Genetics	2022-10-23
AAL	3	B	B	A	A	Transportation - Airline	2022-10-23
AAN	4	A	A	B	A	Consumer Services - Miscellaneous	2022-10-23
AAOI	3	D	A	C	B	Electronics - Semiconductors	2022-10-23
AAON	3	D	F	C	F	Building Products - Air Conditioner and Heating	2022-10-23
AAP	4	B	A	B	A	Automotive - Retail and Wholesale - Parts	2022-10-23
AAPL	3	C	A	B	B	Computer - Mini computers	2022-10-23
AAT	2	C	C	D	C	REIT and Equity Trust - Retail	2022-10-23
AAWW	3	A	B	C	A	Transportation - Air Freight and Cargo	2022-10-23
AAXJ	TimeoutError()
AB	TimeoutError()
ABB	3	C	C	B	C	Manufacturing - Electronics	2022-10-23
ABBV	3	B	B	D	B	Large Cap Pharmaceuticals	2022-10-23
ABC	3	A	A	F	A	Medical - Dental Supplies	2022-10-23
ABCB	TimeoutError()
ABCL	2	B	A	A	A	Medical - Biomedical and Genetics	2022-10-23
ABCM	3	C	C	A	C	Medical - Instruments	2022-10-23
ABEO	3	F	B	A	C	Medical - Biomedical and Genetics	2022-10-23
ABEV	3	B	D	F	D	Beverages - Alcohol	2022-10-23
ABG	3	A	A	A	A	Automotive - Retail and Whole Sales	2022-10-23
ABM	TimeoutError()
ABMD	3	C	A	B	B	Medical - Instruments	2022-10-23
ABNB	2	D	A	D	C	Internet - Content	2022-10-23
ABOS	3	F	D	B	D	Medical - Biomedical and Genetics	2022-10-23
ABR	3	B	B	C	A	REIT and Equity Trust	2022-10-23
ABSI	2	F	D	D	F	Medical - Biomedical and Genetics	2022-10-23
ABST	2	D	F	F	F	Security	2022-10-23
ABT	3	B	C	A	B	Medical - Products	2022-10-23
ABTX	None	None	None	None	None	None	2022-10-23
ABUS	3	F	A	A	B	Medical - Biomedical and Genetics	2022-10-23
ACA	1	B	B	C	B	Building Products - Miscellaneous	2022-10-23
ACAD	2	D	A	A	B	Medical - Biomedical and Genetics	2022-10-23
ACB	2	D	A	F	C	Medical - Products	2022-10-23
ACBI	None	None	None	None	None	None	2022-10-23
ACC	None	None	None	None	None	None	2022-10-23
ACCD	3	F	A	B	C	Technology Services	2022-10-23
